,acrididae_2,afidio_4,alydidae_2,chrysomelidae_1,coccoidea_1,gryllidae_1,hemiptera_4,mantispidae_1,pentatomidae_1,photinaidae_1,proscopiidae_1,proscopiidae_2,proscopiidae_3,reduviidae_1,romaleidae_1,romaleidae_2,tenebrionidae_1,tettigoniidae_1,tettigoniidae_3
Cochlospermum vitifolium,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0
Anadenanthera colubrina,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sebastiania macrocarpa,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Poincianella pyramidalis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amburana cearensis,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cynophalla hastata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudobombax marginatum,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Commiphora leptophloeos,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0
Handroanthus impetiginosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ziziphus joazeiro,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Piptadenia stipulacea,0,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,6,0
Mimosa tenuiflora,0,34,0,0,10,0,0,0,0,1,10,0,1,0,0,0,1,15,0
Libidibia ferrea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Combretum leprosum,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bauhinia cheilantha,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Aspidosperma pyrifolium,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
